"形態素:        品詞: 記号,一般,*,*"
"形態素: 彼女    品詞: 名詞,代名詞,一般,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 急      品詞: 名詞,形容動詞語幹,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 振ら    品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: 親      品詞: 名詞,一般,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 一方    品詞: 接続詞,*,*,*"
"形態素: 的      品詞: 名詞,接尾,形容動詞語幹,*"
"形態素: に      品詞: 助詞,副詞化,*,*"
"形態素: 責め    品詞: 動詞,自立,*,*"
"形態素: られ    品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: 友達    品詞: 名詞,一般,*,*"
"形態素: が      品詞: 助詞,格助詞,一般,*"
"形態素: お金    品詞: 名詞,一般,*,*"
"形態素: を      品詞: 助詞,格助詞,一般,*"
"形態素: 返し    品詞: 動詞,自立,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: くれ    品詞: 動詞,非自立,*,*"
"形態素: ない    品詞: 助動詞,*,*,*"
"形態素: 友達    品詞: 名詞,一般,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 嫌わ    品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: アルバイト      品詞: 名詞,サ変接続,*,*"
"形態素: 先      品詞: 名詞,接尾,一般,*"
"形態素: で      品詞: 助詞,格助詞,一般,*"
"形態素: 嫌味    品詞: 名詞,一般,*,*"
"形態素: を      品詞: 助詞,格助詞,一般,*"
"形態素: 言わ    品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: ストーカー      品詞: 名詞,一般,*,*"
"形態素: 被害    品詞: 名詞,一般,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 遭っ    品詞: 動詞,自立,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: いる    品詞: 動詞,非自立,*,*"
"形態素: バイト  品詞: 名詞,一般,*,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: レジ    品詞: 名詞,一般,*,*"
"形態素: で      品詞: 助詞,格助詞,一般,*"
"形態素: 支払い  品詞: 名詞,一般,*,*"
"形態素: 方法    品詞: 名詞,一般,*,*"
"形態素: どれ    品詞: 名詞,代名詞,一般,*"
"形態素: か      品詞: 助詞,副助詞／並立助詞／終助詞,*,*"
"形態素: 言わ    品詞: 動詞,自立,*,*"
"形態素: ず      品詞: 助動詞,*,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: カード  品詞: 名詞,一般,*,*"
"形態素: 置い    品詞: 動詞,自立,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: くる    品詞: 動詞,非自立,*,*"
"形態素: 客      品詞: 名詞,一般,*,*"
"形態素: アパート        品詞: 名詞,一般,*,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: 上      品詞: 名詞,非自立,副詞可能,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: 階      品詞: 名詞,一般,*,*"
"形態素: とか    品詞: 助詞,並立助詞,*,*"
"形態素: 隣      品詞: 名詞,一般,*,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: 部屋    品詞: 名詞,一般,*,*"
"形態素: から    品詞: 助詞,格助詞,一般,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: 騒音    品詞: 名詞,一般,*,*"
"形態素: 夜      品詞: 名詞,副詞可能,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: アホ    品詞: 名詞,一般,*,*"
"形態素: みたい  品詞: 名詞,非自立,形容動詞語幹,*"
"形態素: に      品詞: 助詞,副詞化,*,*"
"形態素: バイク  品詞: 名詞,一般,*,*"
"形態素: ふかし  品詞: 動詞,自立,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: 走っ    品詞: 動詞,自立,*,*"
"形態素: てる    品詞: 動詞,非自立,*,*"
"形態素: 奴      品詞: 名詞,代名詞,一般,*"
"形態素: 夜中    品詞: 名詞,一般,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 隣人    品詞: 名詞,一般,*,*"
"形態素: から    品詞: 助詞,格助詞,一般,*"
"形態素: 壁      品詞: 名詞,一般,*,*"
"形態素: ドン    品詞: 副詞,助詞類接続,*,*"
"形態素: さ      品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: 電車    品詞: 名詞,一般,*,*"
"形態素: で      品詞: 助詞,格助詞,一般,*"
"形態素: 空い    品詞: 動詞,自立,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: 席      品詞: 名詞,一般,*,*"
"形態素: に      品詞: 助詞,格助詞,一般,*"
"形態素: 割り込み        品詞: 名詞,サ変接続,*,*"
"形態素: で      品詞: 助詞,格助詞,一般,*"
"形態素: 座ら    品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
"形態素: バイト  品詞: 名詞,一般,*,*"
"形態素: 先      品詞: 名詞,接尾,一般,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: ミーティング    品詞: 名詞,一般,*,*"
"形態素: で      品詞: 助詞,格助詞,一般,*"
"形態素: 他      品詞: 名詞,一般,*,*"
"形態素: の      品詞: 助詞,連体化,*,*"
"形態素: 人      品詞: 名詞,一般,*,*"
"形態素: が      品詞: 助詞,格助詞,一般,*"
"形態素: 怒ら    品詞: 動詞,自立,*,*"
"形態素: れ      品詞: 動詞,接尾,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: いる    品詞: 動詞,非自立,*,*"
"形態素: の      品詞: 名詞,非自立,一般,*"
"形態素: を      品詞: 助詞,格助詞,一般,*"
"形態素: 眺め    品詞: 動詞,自立,*,*"
"形態素: て      品詞: 助詞,接続助詞,*,*"
"形態素: い      品詞: 動詞,非自立,*,*"
"形態素: た      品詞: 助動詞,*,*,*"
